"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","hidden-sm","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"CITRA 2ext, rumah MURAH CEPAT turun harga Lt 8x18, 75m2 Rp3, 4M","Citra garden 2 ext jkarta bart, Citra Garden, Jakarta Barat, DKI Jakarta","Rp","3,4 M","4","4","158 m²","WhatsApp","Rp 22.666.667 per m²","tel:+6282125222728","Hubungi"
"PIK, rumah TERMURAH STOCK TERAKHIR Lt 6x15m2- Rp3, 45M siapa cepat dia dapat","Pantai indah kapuk jakarta utara, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","3,45 M","4","4","90 m²","WhatsApp","Rp 38.333.333 per m²","tel:+6282125222728","Hubungi"
"PIK, jual rumah murah rapi 8x15m2- Rp4, 85m hadap selatan","Pantai indah kapuk jakarta utara, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","4,85 M","4","3","120 m²","WhatsApp","Rp 40.416.667 per m²","tel:+6282125222728","Hubungi"
"Dijual rumah mewah di Menteng Jln Denpasar, Jakarta Selatan","Menteng, Menteng, Jakarta Selatan, DKI Jakarta","Rp","20 M","5","5","400 m²","WhatsApp","Rp 80.000.000 per m²","tel:+6285657277269","Hubungi"
"Rumah 2, 5 Lantai strategis di Ciledug Tangerang","Pondok Pinang, Jakarta Selatan, DKI Jakarta","Rp","800 jt","3","3","65 m²","WhatsApp","Rp 17.021.277 per m²","tel:+6285697446664","Hubungi"
"CILODONG - RUMAH CLUSTER SIAP HUNI, 3 JUTA ALL IN.","Info & Survey : FITRI HATTA WA.  0812.8003.0500, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","650 jt","2","1","38 m²","WhatsApp","Rp 10.833.333 per m²","tel:+6281280030500","Hubungi"
"bendungan hilir","bendungan hilir, Tanah Abang, Jakarta Pusat, DKI Jakarta","Rp","3,2 M","10","7","150 m²","WhatsApp","Rp 53.333.333 per m²","tel:+62818996239","Hubungi"
"Tanjung Duren","Tanjung Duren Utara, Tanjung Duren, Jakarta Barat, DKI Jakarta","Rp","3,5 M","3","2","130 m²","WhatsApp","Rp 25.362.319 per m²","tel:+6281388873788","Hubungi"
"Villa Gading Indah","Villa Gading Indah, Kelapa Gading, Jakarta Utara, DKI Jakarta","Rp","15 M","4","3","500 m²","WhatsApp","Rp 46.153.846 per m²","tel:+6287780723776","Hubungi"
"Rumah Second Boulevard Raffles Siap huni Raffles Hills Cibubur","Jl. Alternatif Cibubur, Cibubur, Jakarta Timur, DKI Jakarta","Rp","5,35 M","4","4","350 m²","WhatsApp","Rp 17.833.333 per m²","tel:+6281318333131","Hubungi"
"Taman Cilandak","Jl TB. Simatupang, Cilandak, Jakarta, Cilandak, Jakarta Selatan, DKI Jakarta","Rp","24 M","5","3","900 m²","WhatsApp","Rp 33.103.448 per m²","tel:+6287702071987","Hubungi"
"Jalan Cipaku Kebayoran baru","Jalan Cipaku Kebayoran Baru, Kebayoran Baru, Jakarta Selatan, DKI Jakarta","Rp","29 M","4","3","500 m²","WhatsApp","Rp 70.904.645 per m²","tel:+6287702071987","Hubungi"
"Jalan Wijaya Kebayoran Baru Jakarta Selatan","Jalan Wijaya Kebayoran Baru, Kebayoran Baru, Jakarta Selatan, DKI Jakarta","Rp","40 M","4","4","500 m²","WhatsApp","Rp 68.376.068 per m²","tel:+6287702071987","Hubungi"
"Jalan Lamandau Kebayoran Baru","Jalan Lamandau Kebayoran Baru, Kebayoran Baru, Jakarta Selatan, DKI Jakarta","Rp","19,6 M","4","4","450 m²","WhatsApp","Rp 75.384.615 per m²","tel:+6287702071987","Hubungi"
"Jalan Bendungan Hilir Jakarta Pusat","Jalan Bendungan Hilir Jakarta Pusat, Bendungan Hilir, Jakarta Pusat, DKI Jakarta","Rp","3,6 M","4","2","100 m²","WhatsApp","Rp 27.906.977 per m²","tel:+6287702071987","Hubungi"
"Martimbang kebayoran baru","Martimbang kebayoran baru, Kebayoran Baru, Jakarta Selatan, DKI Jakarta","Rp","45 M","5","4","919 m²","WhatsApp","Rp 43.269.231 per m²","tel:+6287702071987","Hubungi"
"Sekolah Duta Pondok Indah","Sekolah Duta Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta","Rp","32,5 M","5","3","482 m²","WhatsApp","Rp 47.723.935 per m²","tel:+6287702071987","Hubungi"
"Casa Jardin","Daan Mogot, Jakarta Barat, DKI Jakarta","Rp","3,5 M","4","3","168 m²","WhatsApp","Rp 29.166.667 per m²","tel:+628179880922","Hubungi"
"Dijual Rumah bagus 2 lt baru full renovasi murah sekali dlm cluster akses mbl di Balekambang Condet","Balekambang condet jaktim, Condet, Jakarta Timur, DKI Jakarta","Rp","775 jt","4","2","75 m²","WhatsApp","Rp 19.375.000 per m²","tel:+628159296154","Hubungi"
"Dijual rumah baru bagus 2 lantai lokasi strategis dekat bt ampar raya condet jak tim","Batu anpar condet jaktim, Condet, Jakarta Timur, DKI Jakarta","Rp","850 jt","3","2","102 m²","WhatsApp","Rp 16.666.667 per m²","tel:+628159296154","Hubungi"
"RUMAH CITRA GARDEN 12x25 SEMI FURNISHED SIAP HUNI","Citra Garden, Jakarta Barat, DKI Jakarta","Rp","4 M","6","5","480 m²","WhatsApp","Rp 13.333.333 per m²","tel:+62818996239","Hubungi"
"Taman Grisenda","Jl Kapuk Kamal Raya, Kali Deres, Jakarta Barat, DKI Jakarta","Rp","12,5 M","6","4","760 m²","WhatsApp","Rp 41.666.667 per m²","tel:+62818996239","Hubungi"
"golf lake residence","atlantic city, Cengkareng, Jakarta Barat, DKI Jakarta","Rp","6 M","5","5","200 m²","WhatsApp","Rp 41.666.667 per m²","tel:+62818996239","Hubungi"
"Citra Garden City 2 Extension",". Jl. Peta Timur, Kali Deres, Jakarta, Kali Deres, Jakarta Barat, DKI Jakarta","Rp","3,5 M","3","3","156 m²","WhatsApp","Rp 23.333.333 per m²","tel:+62818996239","Hubungi"
"Dijual Rumah Lebar 10 Di Tanjung Duren Utara, Jakarta Barat","Tanjung Duren, Jakarta Barat, DKI Jakarta","Rp","8,6 M","4","2","186 m²","WhatsApp","Rp 29.861.111 per m²","tel:+6285718188149","Hubungi"
"Kebayoran Baru","Jalan Kerinci, Pakubuwono, Jakarta Selatan, DKI Jakarta","Rp","28,5 M","7","6","600 m²","WhatsApp","Rp 92.532.468 per m²","tel:+6287871621941","Hubungi"
"Golf Island Pantai Indah Kapuk","Golf Island Pantai Indah Kapuk, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","3,5 M","3","2","85 m²","WhatsApp","Rp 38.888.889 per m²","tel:+6287879456868","Hubungi"
"Dijual Rumah Kost Tebet","Tebet, Jakarta Selatan, DKI Jakarta","Rp","6 M","10","10","250 m²","WhatsApp","Rp 36.144.578 per m²","tel:+6285712002000","Hubungi"
"Dijual Rumah Kavling Siap Huni Terawat di Pondok Bambu Duren Sawit Jakarta Timur","Duren Sawit, Jakarta Timur, DKI Jakarta","Rp","2,5 M","7","4","350 m²","WhatsApp","Rp 12.500.000 per m²","tel:+628118450300","Hubungi"
"Rumah Siap Huni Lokasi Strategis di Duri Kepa(DK163)","duri kepa, Duri Kepa, Jakarta Barat, DKI Jakarta","Rp","1,75 M","4","3","90 m²","WhatsApp","Rp 30.172.414 per m²","tel:+6287886483905","Hubungi"
"Citra Garden City 6",". Jl. Satu Maret, Kali Deres, Jakarta, Kali Deres, Jakarta Barat, DKI Jakarta","Rp","4,6 M","3","3","250 m²","WhatsApp","Rp 30.666.667 per m²","tel:+6287777655867","Hubungi"
"Tebet","Jl Tebet Raya, Tebet, Jakarta Selatan, DKI Jakarta","Rp","25 M","5","4","1100 m²","WhatsApp","Rp 31.806.616 per m²","tel:+6281318381838","Hubungi"
"Rumah siap huni lebar jalan 2 mobil bebas banjir di Tanjung duren(TD168)","Tanjung Duren, Tanjung Duren, Jakarta Barat, DKI Jakarta","Rp","1,75 M","3","2","105 m²","WhatsApp","Rp 31.250.000 per m²","tel:+6287886483905","Hubungi"
"Rumah bagus bebas banjir di Duri Kepa(DK159)","duri kepa, Duri Kepa, Jakarta Barat, DKI Jakarta","Rp","2 M","3","2","108 m²","WhatsApp","Rp 22.222.222 per m²","tel:+6287886483905","Hubungi"
"Tebet Timur","Tebet Timur, Tebet Timur, Jakarta Selatan, DKI Jakarta","Rp","3 M","5","3","125 m²","WhatsApp","Rp 23.076.923 per m²","tel:+6281293280655","Hubungi"
"JUAL MURAH RUMAH STRATEGIS CLUSTER CIPAYUNG LOKASI DEKAT TOL JAGORAWI","Jl Raya Cipayung, Cipayung, Jakarta Timur, DKI Jakarta","Rp","850 jt","2","1","60 m²","WhatsApp","Rp 11.805.556 per m²","tel:+6285782036932","Hubungi"
"Jual Rumah Mewah Jagakarsa","Jl.Sarjana, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","1,55 M","3","3","140 m²","WhatsApp","Rp 19.375.000 per m²","tel:+6285161440357","Hubungi"
"Rumah Mewah Jagakarsa","Jl.Maninjo, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","3,5 M","4","5","250 m²","WhatsApp","Rp 21.604.938 per m²","tel:+6285161440357","Hubungi"
"CILODONG - RUMAH CLUSTER SIAP HUNI, 3 JUTA ALL IN.","Info & Survey : FITRI HATTA WA.  0812.8003.0500, Cipayung, Jakarta Timur, DKI Jakarta","Rp","650 jt","2","1","38 m²","WhatsApp","Rp 10.833.333 per m²","tel:+6281280030500","Hubungi"
"Dijual PIK 1 Cluster Kano Jakarta Utara Hadap Utara","Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","4,7 M","4","4","260 m²","WhatsApp","Rp 50.537.634 per m²","tel:+62895400681418","Hubungi"
"Pondok bambu","Pondok bambu, Pondok Bambu, Jakarta Timur, DKI Jakarta","Rp","1,9 M","4","3","112 m²","WhatsApp","Rp 19.387.755 per m²","tel:+6285691787271","Hubungi"
"Bamboo Premium Residence Lebak Bulus, Cilandak","Bamboo Premium Residence, Lebak Bulus, Jakarta Selatan, DKI Jakarta","Rp","3,85 M","4","3","150 m²","WhatsApp","Rp 31.300.813 per m²","tel:+628170014702","Hubungi"
"Rumah Lubang Buaya, Jakarta Timur","Lubang Buaya, Lubang Buaya, Jakarta Timur, DKI Jakarta","Rp","4,4 M","5","5","300 m²","WhatsApp","Rp 19.298.246 per m²","tel:+6281393339935","Hubungi"
"Taman Permata Buana","Jl. Kembangan Raya, Jakarta Barat, DKI Jakarta","Rp","4,9 M","3","2","250 m²","WhatsApp","Rp 30.625.000 per m²","tel:+6282110111238","Hubungi"
"di Jual Cepat RumahTerawat  di Jl. M. Kahfi I - dekat ke tol Desari n tol TB. Simatupang bebas banjir","Jalan M.Kahfi I - Jakarta Selatan, Ciganjur, Jakarta Selatan, DKI Jakarta","Rp","15 M","5","3","479 m²","WhatsApp","Rp 25.641.026 per m²","tel:+6281223914212","Hubungi"
"Cipete","Cipete, Jakarta Selatan, DKI Jakarta","Rp","4,8 M","4","3","150 m²","WhatsApp","Rp 30.967.742 per m²","tel:+6281282331997","Hubungi"
"Rumah Siap Huni Area Jagakarsa","Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","1,5 M","3","2","144 m²","WhatsApp","Rp 14.150.943 per m²","tel:+6281223914212","Hubungi"
"Jual atau Disewakan Rumah Bagus dan Nyaman, Bisa untuk Kantor/Kos di Kebayoran Baru","Kebayoran Baru, Jakarta Selatan, DKI Jakarta","Rp","4 M","5","3","300 m²","WhatsApp","Rp 26.845.638 per m²","tel:+6287882208688","Hubungi"
"Hotel di Pondok Pinang Jakarta Selatan","Pondok Pinang, Jakarta Selatan, DKI Jakarta","Rp","15,5 M","10","10","900 m²","WhatsApp","Rp 34.444.444 per m²","tel:+6285779153217","Hubungi"
"Dijual Rumah Cantik di Cilandak","Cilandak, Jakarta Selatan, DKI Jakarta","Rp","4,75 M","4","4","150 m²","WhatsApp","Rp 23.750.000 per m²","tel:+6285779153217","Hubungi"
"Rumah brandnew di lokasi strategis Pondok Labu Cilandak Jaksel","Jalan Pinang II, Pondok Labu, Jakarta Selatan, DKI Jakarta","Rp","1,95 M","3","2","72 m²","WhatsApp","Rp 27.083.333 per m²","tel:+6281317770255","Hubungi"
"Rumah Tebet","Tebet Barat, Jakarta Selatan, Tebet, Jakarta Selatan, DKI Jakarta","Rp","3,5 M","3","2","145 m²","WhatsApp","Rp 22.727.273 per m²","tel:+6282113001059","Hubungi"
"Town House Rumah Baru design modern mewah dipinggir jalan 2 mbl Condet","Condet, Condet, Jakarta Timur, DKI Jakarta","Rp","1,85 M","3","2","103 m²","WhatsApp","Rp 25.000.000 per m²","tel:+6285719160370","Hubungi"
"Citra Garden City","Jl. Lingkar Luar, Cengkareng, Jakarta Barat, DKI Jakarta","Rp","5,7 M","4","3","300 m²","WhatsApp","Rp 20.727.273 per m²","tel:+6281284441243","Hubungi"
"Rumah Urgen Jual Cepat Tanah Luas Pool Pribadi Di Ragunan Pasar Minggu","Ragunan, Pasar Minggu, Jakarta Selatan, DKI Jakarta","Rp","15,5 M","8","8","600 m²","WhatsApp","Rp 15.625.000 per m²","tel:+6281282940124","Hubungi"
"Cipete Utara- Rumah Siap Huni Bangunan 2 Lantai Area Jl Deplu","Jl.Deplu 3, Cipete, Jakarta Selatan, DKI Jakarta","Rp","8,5 M","5","3","250 m²","WhatsApp","Rp 22.606.383 per m²","tel:+6281927671414","Hubungi"
"Bukit Podomoro by Agung Podomoro Land","Jl. I Gusti Ngurah Rai, Klender, Jakarta Timur, DKI Jakarta","Rp","3,7 M","3","3","146 m²","WhatsApp","Rp 41.111.111 per m²","tel:+6281911999318","Hubungi"
"The Essence Yarra Jakarta Garden City","Jl. River Garden Boulevard No.7, RW.7, Cakung Tim., Cakung, Jakarta Timur, DKI Jakarta","Rp","1,7 M","3","3","74 m²","WhatsApp","Rp 22.666.667 per m²","tel:+6281911999318","Hubungi"
"Rumah Citra 7 Hoek Murah Jarang Ada","Citra Garden City, Citra Garden, Jakarta Barat, DKI Jakarta","Rp","5,7 M","4","3","400 m²","WhatsApp","Rp 22.352.941 per m²","tel:+6281284441243","Hubungi"
"Citra Garden City 2 Extension",". Jl. Peta Timur, Kali Deres, Jakarta, Kali Deres, Jakarta Barat, DKI Jakarta","Rp","1,55 M","3","2","90 m²","WhatsApp","Rp 21.527.778 per m²","tel:+6281284441243","Hubungi"
"Tanah Mas, Kayu Putih, Jakarta Timur","Tanah Mas, Jakarta Timur, Kayu Putih, Jakarta Timur, DKI Jakarta","Rp","13,7 M","3","4","286 m²","WhatsApp","Rp 32.084.309 per m²","tel:+6281380942232","Hubungi"
"Serenia Hills, sierra cluster jaksel","Karang Tengah, Lebak Bulus, Jakarta Selatan, DKI Jakarta","Rp","4,6 M","4","4","204 m²","WhatsApp","Rp 44.230.769 per m²","tel:+6281384483494","Hubungi"
"Pondok indah new cluster limited unit di kawasan premium exlusive","Jln raya pondok indah, Pondok Indah, Jakarta Selatan, DKI Jakarta","Rp","4,3 M","4","4","143 m²","WhatsApp","Rp 56.578.947 per m²","tel:+6281384483494","Hubungi"
"Lebak bulus","Lebak Bulus, Jakarta Selatan, DKI Jakarta","Rp","36 M","4","3","400 m²","WhatsApp","Rp 10.909.091 per m²","tel:+6281808361616","Hubungi"
"Dijual Rumah 1 lt dlm cluster siap huni lokasi dkt raya Bogor Kramatjati Jaktim","Kramat Jati, Jakarta Timur, DKI Jakarta","Rp","980 jt","2","1","48 m²","WhatsApp","Rp 14.626.866 per m²","tel:+6289635171159","Hubungi"
"Dijual Rumah Cepat minimalis siap huni Kalisari Jaktim","Kalisari, Jakarta Timur, DKI Jakarta","Rp","725 jt","2","1","55 m²","WhatsApp","Rp 11.328.125 per m²","tel:+6289635171159","Hubungi"
"Siapa cepat dia dapat! Dijual Rumah baru dlm cluster lokasi strategis Lenteng agung Tanjung Barat","Tanjung Barat, Jakarta Selatan, DKI Jakarta","Rp","975 jt","3","2","60 m²","WhatsApp","Rp 20.312.500 per m²","tel:+6289635171159","Hubungi"
"Dijual Rumah Baru 2 lantai modern dlm Cluster 2 mbl di Batu Ampar Condet Jaktim","Condet, Jakarta Timur, DKI Jakarta","Rp","1.368,5 M","3","3","100 m²","WhatsApp","Rp 22.808.333.333 per m²","tel:+6289635171159","Hubungi"
"Dijual Rumah Baru full renov 1lantai akses gg motor Batu Ampar Condet Jaktim","Condet, Jakarta Timur, DKI Jakarta","Rp","285 jt","1","1","19 m²","WhatsApp","Rp 13.571.429 per m²","tel:+6289635171159","Hubungi"
"Jarang ada! ! Dijual Rumah Baru dlm Cluster akses mbl Lokasi Batu Ampar Condet Jaktim","Condet, Jakarta Timur, DKI Jakarta","Rp","1,75 M","4","3","130 m²","WhatsApp","Rp 21.875.000 per m²","tel:+6289635171159","Hubungi"
"Dijual Rumah baru 2 lt akses Gg motor di Batu ampar Condet Jaktim","Condet, Jakarta Timur, DKI Jakarta","Rp","380 jt","2","2","62 m²","WhatsApp","Rp 12.258.065 per m²","tel:+6289635171159","Hubungi"
"Dijual Rumah Strategis Murah Cilangkap Jaktim","Cilankap, Cilangkap, Jakarta Timur, DKI Jakarta","Rp","1,1 M","3","2","92 m²","WhatsApp","Rp 10.280.374 per m²","tel:+6285719160370","Hubungi"
"Kembangan","Jl.raya ring road,kembangan ,Rawabuaya., Kembangan, Jakarta Barat, DKI Jakarta","Rp","7,5 M","5","2","200 m²","WhatsApp","Rp 31.779.661 per m²","tel:+6285692218329","Hubungi"
"Rumah murah 2 lantai di kav. dki Meruya utara","Jl.penyelesaian tomang raya jalur 20 meruya, Meruya, Jakarta Barat, DKI Jakarta","Rp","2,7 M","5","3","158 m²","WhatsApp","Rp 10.074.627 per m²","tel:+6285692218329","Hubungi"
"Rumah","Jl.raya ring road kembangan ,Rawabuaya,jakarta, Kembangan, Jakarta Barat, DKI Jakarta","Rp","7,5 M","5","4","200 m²","WhatsApp","Rp 31.779.661 per m²","tel:+6285692218329","Hubungi"
"Rumah bagus murah siap huni di Kramat senen","Jl raya Kramat,Senen Jakarta pusat, Senen, Jakarta Pusat, DKI Jakarta","Rp","11,999 M","10","4","210 m²","WhatsApp","Rp 40.674.576 per m²","tel:+6285692218329","Hubungi"
"Rumah mewah siap huni murah di kebun jeruk intercon","Jl. Raya taman kebun jeruk intercon, Kebon Jeruk, Jakarta Barat, DKI Jakarta","Rp","36 M","9","10","2100 m²","WhatsApp","Rp 46.272.494 per m²","tel:+6285692218329","Hubungi"
"Rumah bagus murah","Jl.raya boulevard Citra garden 2,kalideres, Citra Garden, Jakarta Barat, DKI Jakarta","Rp","5,9 M","3","3","600 m²","WhatsApp","Rp 16.388.889 per m²","tel:+6285692218329","Hubungi"
"Hanya 1 unit saja, siapa cepat dia dapat. Dijual Rumah Baru Minimalis lokasi Batu Ampar Condet Jakti","Condet, Jakarta Timur, DKI Jakarta","Rp","750 jt","2","2","65 m²","WhatsApp","Rp 19.736.842 per m²","tel:+6289635171159","Hubungi"
"Daan mogot","Jl raya boulevard Daan Mogot ,kalideres., Daan Mogot, Jakarta Barat, DKI Jakarta","","4","5","4","350 m²","WhatsApp","Rp 0 per m²","tel:+6285692218329","Hubungi"
"Rumah murah 2. 5 lantai dikavling DKI Meruya utara","Jl.raya penyelesaian Tomang 1( jalur 20) Meruya, Meruya, Jakarta Barat, DKI Jakarta","","4","5","4","800 m²","WhatsApp","Rp 0 per m²","tel:+6285692218329","Hubungi"
"Daan mogot","Jl.raya Boulevard tampak Siring ,daan mogot ., Daan Mogot, Jakarta Barat, DKI Jakarta","","2","3","2","176 m²","WhatsApp","Rp 0 per m²","tel:+6285692218329","Hubungi"
"Kalideres","Jl raya boulevard Daan Mogot baru,kalideres, Daan Mogot, Jakarta Barat, DKI Jakarta","","4","5","4","320 m²","WhatsApp","Rp 0 per m²","tel:+6285692218329","Hubungi"
"Cengkareng","Jl.raya boulevard taman palm lestari,cengkareng, Taman Palem, Jakarta Barat, DKI Jakarta","Rp","5 M","6","4","450 m²","WhatsApp","Rp 28.571.429 per m²","tel:+6285692218329","Hubungi"
"Kavling Bambu Apus","Bambu Apus Selatan, Cipayung, Jakarta Timur, DKI Jakarta","Rp","36 M","5","3","1000 m²","WhatsApp","Rp 12.000.000 per m²","tel:+6281380942232","Hubungi"
"Daan Mogot Baru - Cluster Gilimanuk","Jl. Daan Mogot Raya, Jakarta Barat, DKI Jakarta","","4","5","4","320 m²","WhatsApp","Rp 0 per m²","tel:+6285692218329","Hubungi"
"Rumah di Lokasi Strategis Rawamangun","Jl Bawal, Rawamangun, Jakarta Timur, DKI Jakarta","Rp","3,9 M","9","4","175 m²","WhatsApp","Rp 23.636.364 per m²","tel:+6281380942232","Hubungi"
"Rumah murah","Jl.raya i,daan mogot baru,kalideres,Jakarta barat, Kali Deres, Jakarta Barat, DKI Jakarta","","4","5","4","235 m²","WhatsApp","Rp 0 per m²","tel:+6285692218329","Hubungi"
"Daan Mogot Baru - Tampak Siring","Jl. Daan Mogot Raya, Jakarta Barat, DKI Jakarta","","3","3","2","176 m²","WhatsApp","Rp 0 per m²","tel:+6285692218329","Hubungi"
"Rumah Dalam Kompleks Pertamina di Pulo Asem, Jakarta Timur","Jatibarang, Pulo Gadung, Jakarta Timur, DKI Jakarta","Rp","8,5 M","4","","300 m²","WhatsApp","Rp 26.562.500 per m²","tel:+6281380942232","Hubungi"
"Cluster modern home di bawah 1 M di Pulo Mas","Jl batu topas, Pulomas, Jakarta Timur, DKI Jakarta","Rp","800 jt","2","2","70 m²","WhatsApp","Rp 26.666.667 per m²","tel:+6281317111792","Hubungi"
"Town house Pulo Mas","Jl. Pulomas, Kayu putih, Pulo Gadung, Pulomas, Jakarta Timur, DKI Jakarta","Rp","1,6 M","3","2","85 m²","WhatsApp","Rp 32.000.000 per m²","tel:+6282114385219","Hubungi"
"Green Cempaka putih","Jl Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat, DKI Jakarta","Rp","1,33 M","3","3","90 m²","WhatsApp","Rp 35.000.000 per m²","tel:+6282114385219","Hubungi"
"Turun Harga Rumah 2 Lantai di Lokasi Strategis Jl. Pakubuwono Jaksel","Jl. Pakubuwono, Kebayoran Baru, Jakarta Selatan, DKI Jakarta","Rp","5,9 M","3","3","160 m²","WhatsApp","Rp 45.038.168 per m²","tel:+628111335588","Hubungi"
"LEBAK BULUS, RUMAH BARU SPEC MEWAH, LINGKUNGAN TENANG JALAN LEBAR, PERKIR TAMU NYAMAN, PRIVATE POOL","Lebak bukus III, Lebak Bulus, Jakarta Selatan, DKI Jakarta","Rp","7,5 M","4","3","560 m²","WhatsApp","Rp 22.796.353 per m²","tel:+6281288682041","Hubungi"
"TOWN HOUSE ONE GATE SYSTEM,  LOKASI ELITNYA JAGAKARSA,  JL. DURIAN DEKAT PLATARAN","Jalan Durian barat, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","4,5 M","3","2","205 m²","WhatsApp","Rp 31.034.483 per m²","tel:+6281288682041","Hubungi"
"DIJUAL rumah garden house pik 8x17","Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","5,3 M","3","3","250 m²","WhatsApp","Rp 38.970.588 per m²","tel:+6282114504583","Hubungi"
"KEBAYORAN LAMA, LINGKUNGAN TENANG DALAM KOMPLEK, PRIME AREA DEKAT PERMATA HIJAU","Kebayoran Lama Jak Sel, Permata Hijau, Jakarta Selatan, DKI Jakarta","Rp","5,9 M","4","3","300 m²","WhatsApp","Rp 30.569.948 per m²","tel:+6281288682041","Hubungi"
"TOWN HOUSE LOKASI ELITNYA JAGAKARSA , DKT PLATARAN","Jl. Durian barat Jagakarsa, Kebagusan, Jakarta Selatan, DKI Jakarta","Rp","5,9 M","4","3","280 m²","WhatsApp","Rp 23.790.323 per m²","tel:+6281288682041","Hubungi"
"RUMAH BRAND NEW, KLASIK MEWAH LOKASI TENANG","Jalan Durian, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","4,8 M","5","5","293 m²","WhatsApp","Rp 24.615.385 per m²","tel:+6281288682041","Hubungi"
"MEWAH KLASIK, DALAM TOWN HOUSE, DEKAT JL. PASO & CILANDAK KKO","Jalan Kahfi 1, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","3,65 M","4","4","286 m²","WhatsApp","Rp 35.436.893 per m²","tel:+6281288682041","Hubungi"
"Pondok kopi","Jln kelurahan, Cipinang, Jakarta Timur, DKI Jakarta","Rp","600 jt","2","1","36 m²","WhatsApp","Rp 8.333.333 per m²","tel:+62085781185531","Hubungi"
"Duren sawit","Jln kelurahan 1, Duren Sawit, Jakarta Timur, DKI Jakarta","Rp","600 jt","2","1","36 m²","WhatsApp","Rp 8.450.704 per m²","tel:+62085781185531","Hubungi"
"Dijual rumah bgm pik 8x18 jarang ada clustee terbaik","Pantai indah kapuk, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","5,4 M","3","2","220 m²","WhatsApp","Rp 37.500.000 per m²","tel:+6282114504583","Hubungi"
"SYNTHESIS HUIS","8A Jl. Pedati Selatan, Pasar Rebo, Jakarta Timur, DKI Jakarta","Rp","1,7 M - Rp 1,9 M","2","2","73 m²","Hubungi","","",""
"Dijual Rumah Hoek di Cipete dalam komplek jalan lebar","cipete, Cipete, Jakarta Selatan, DKI Jakarta","Rp","7,392 M","4","3","250 m²","WhatsApp","Rp 22.000.000 per m²","tel:+6287880555987","Hubungi"
"Dijual rumah minimalis di kemang private pool","kemang selatan, Kemang, Jakarta Selatan, DKI Jakarta","Rp","6,5 M","4","3","250 m²","WhatsApp","Rp 32.500.000 per m²","tel:+6287880555987","Hubungi"
"Dijual pik2 8x10 danau ready springville","Springvillle, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","2,5 M","3","3","113 m²","WhatsApp","Rp 31.250.000 per m²","tel:+6282114504583","Hubungi"
"Dijual rumah pik chopin 8x25 hazel /10x20 golf island","Pantai indah kapuk, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","8,5 M","3","3","400 m²","WhatsApp","Rp 42.500.000 per m²","tel:+6282114504583","Hubungi"
"Jual Rumah Kos Tanjung Duren Emerald Grogol Petamburan, Anti Pandemi","Tanjung Duren, Jakarta Barat, DKI Jakarta","Rp","5,5 M","10","10","275 m²","WhatsApp","","tel:+6281280015009","Hubungi"
"Dijual rumah mewah pik Mediterania resort","Pantai Indah kapuk, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","35 M","5","4","1000 m²","WhatsApp","Rp 66.666.667 per m²","tel:+6282114504583","Hubungi"
"Rumah dalam komplek area kebon jeruk","sukabumi utara, Kebon Jeruk, Jakarta Barat, DKI Jakarta","Rp","3,5 M","4","5","370 m²","WhatsApp","Rp 17.073.171 per m²","tel:+6287880555987","Hubungi"
"Rumah Pribadi Lebak Bulus","Jl. Taman Sari I Lebak Bulus, Lebak Bulus, Jakarta Selatan, DKI Jakarta","Rp","4 M","4","3","150 m²","WhatsApp","Rp 32.520.325 per m²","tel:+6281384267401","Hubungi"
"Rumah Siap Huni Furnished 4 Kamar di Benda Atas","Jeruk purut, Kemang, Jakarta Selatan, DKI Jakarta","Rp","10 M","4","4","235 m²","WhatsApp","Rp 45.662.100 per m²","tel:+6287743082047","Hubungi"
"Rumah murah pik 2 4. 5x10","Panati indah kapuk, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","1,35 M","2","1","4 m²","WhatsApp","Rp 30.000.000 per m²","tel:+6282114504583","Hubungi"
"Cipayung Jakarta timur","Cipayung, Jakarta Timur, DKI Jakarta","Rp","900 jt","3","2","75 m²","WhatsApp","Rp 15.000.000 per m²","tel:+6285288879470","Hubungi"
